name,left,right
hu826751,11,11
huDDCF88,1,1
hu3DC5EA,15,15
hu008567,7,7
hu98FFC6,14,14
hu0D1FA1,7,7
hu7604D9,9,9
huCF446F,16,16
hu6E5DF0,18,18
hu05CA34,13,13
hu9F7183,2,2
hu0FB755,1,1
hu0FB755,1,1
hu5DA1EE,14,14
huE7F5FC,10,12
huAEADC0,5,5
hu775E9F,7,7
hu2D6140,7,7
hu726FB4,2,2
hu2C1D94,10,10
huB1FD55,14,15
hu816A0B,13,13
huA60DA9,21,21
hu5A063B,10,8
huB10361,16,13
huA08B2B,17,17
hu101457,9,9
hu60180F,23,23
huDE435D,3,3
huA05317,16,16
huBD6B35,13,13
hu38BF09,7,2
hu6C733E,7,7
hu5BB600,2,2
hu2C1AB7,15,15
hu260CA7,13,13
hu7A262B,4,4
huB24B8E,20,20
hu04260F,16,16
hu17ABE7,3,2
huA9A1B6,14,14
hu8D99F6,14,14
hu8D99F6,14,14
hu95E46D,2,4
huDBF9DD,21,21
hu034DB1,13,13
hu0E64A1,2,2
hu627574,13,13
hu2BC187,18,18
hu7123C1,2,10
huE9B080,11,11
huEA2AF0,13,13
huC14AE1,2,2
huCBEE5B,22,22
hu2F052E,6,6
hu5880D9,13,13
hu9408BD,13,13
huA7EB97,20,21
hu52DA79,16,15
huD550A5,21,21
hu374F4A,1,1
huD16532,4,4
hu1365DC,8,8
hu63432C,18,20
huBA344C,14,14
hu7D0E75,5,5
hu516E89,4,4
hu3E50D4,23,23
hu265361,19,19
hu5A6172,2,2
huCCF26A,2,2
hu4F3A99,17,17
huD57BBF,6,6
huF041C5,21,21
hu14262A,4,4
huD09050,4,4
huCAFC1C,23,23
huD8C3BD,1,1
hu6C3F34,17,17
hu28391C,2,2
hu76CAA5,13,13
huF83462,13,13
huC5733C,2,2
hu10D50B,16,16
huB5A0DF,4,4
hu5962F5,13,11
hu2D53F2,16,16
huFD4AD3,2,2
hu12771C,7,7
hu8FE675,24,24
hu751995,14,14
huE2FAF1,19,19
huC4F2BB,23,22
huA720D3,14,14
hu397733,21,21
hu05E665,15,14
huD20DAF,3,16
huD10FBC,7,7
hu337BB4,15,14
hu0F0879,20,20
huF80F84,11,11
hu3C86DB,13,13
hu04F220,18,19
huA55602,14,13
hu9941AD,4,4
huDBD591,7,7
hu851AB8,20,20
huD0E08A,2,2
hu21DC54,1,1
huC36E0F,17,17
hu28DA07,19,20
huBC8000,3,3
hu30AAAF,11,11
hu521A6E,14,14
huE58F77,9,9
hu7BE59E,15,15
hu6D50BE,15,15
hu599905,13,13
hu5B19AE,7,7
hu580BA5,15,15
hu5A61B8,13,13
hu675643,20,20
hu399FC0,11,11
hu81C741,17,17
hu5AB9A8,4,4
hu24F4AB,13,13
hu779B4F,4,4
hu3CAB43,7,7
hu8AFE1F,4,4
hu6D1115,16,16
huA45084,7,7
hu1A8C1E,13,12
huB89823,7,3
hu96405F,18,18
hu33894B,24,24
huE9D7FD,20,20
hu34BA70,10,10
huDD6E7A,9,9
hu00D419,12,12
hu05F442,3,3
huFEC65A,9,9
hu251460,11,11
hu574751,4,4
hu30888B,11,11
huE5A9A3,13,13
huCEB0FE,16,16
hu3A68BA,11,11
huEE0410,7,7
hu70C80B,18,18
hu024B5D,1,1
hu2AF047,20,20
hu6A28EC,11,11
hu613C50,13,13
hu2AE6B6,6,6
huD554DB,19,19
hu4B11A3,13,13
hu98D4A9,18,21
huF8AE42,17,17
hu5E55F5,6,7
huA8B443,11,11
huD0D79A,14,14
huD95DAB,13,13
huB6B648,20,20
hu8D6607,8,8
huB68207,14,14
hu26B551,7,7
hu5CD2C6,18,18
huD92216,2,2
hu57C3BB,22,22
huB0CC9A,20,20
hu5F5EB7,10,10
hu4B3FF4,20,20
hu97DF8E,23,23
huC96797,21,21
hu05AE3F,23,23
huEC68B1,4,4
huF7E042,14,14
huE44F41,10,10
hu9745B5,14,14
hu3DF8AD,8,8
hu42FD5E,4,4
huAC3640,17,17
huA4E2CF,20,20
huEBC5E7,20,20
hu117D1E,8,8
hu86BC6B,9,9
hu50405B,4,4
hu0D77CC,15,15
hu21731A,18,18
hu9A06D5,14,14
huF90C82,21,21
hu2C7459,7,7
hu2B76CC,16,16
huD2F73D,5,5
hu90D19A,3,3
hu8BEDE1,20,20
hu7FA667,11,11
hu51FE08,4,3
hu1B2689,20,20
hu3C0611,14,14
hu9D3638,21,21
huE9B698,5,5
hu2E4B9F,17,17
huFF2969,15,15
huEC6EEC,14,14
hu9FEC32,13,13
hu8BFB8B,17,16
huEC0E19,14,14
hu6E8157,23,23
huAB5240,4,4
huCED936,14,14
hu868BCC,20,20
